id,date,published,title,url,image,source,priority,text,category,latitude,longitude
2646,"May 14, 2013",1,Climate change expected to impact Maine's forests,http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNGj0kQjXs2ny7V7HrbJx0QX2AJIAw&url=http://www.kjonline.com/news/Climate-change-expected-to-impact-Maines-forests.html,//nt1.ggpht.com/news/tbn/KSBnHhO9X8wCzM/6.jpg,Kennebec Journal,,"Unless people dramatically cut the amount of carbon dioxide they&#39;re putting into the air and water through industry, farming, landfills and fossil fuel consumption, Maine&#39;s largest manufacturing industry will be damaged in ways scientists can only...",general,44.4091601,-69.7672644
2650,"May 14, 2013",1,"""Ready or Hot?"" Climate Smart Southwest conference in September",http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNF3ASuUiBHLGww1NsdaZEvDyROnpA&url=http://tucsoncitizen.com/community/2013/05/13/ready-or-hot-climate-smart-southwest-conference-in-september/,,Tucson Citizen,,"The purpose is to build new and fortify existing cross-cultural, community, and governmental partnerships to educate and engage community action to address the anticipated public health impacts of climate change in the Southwest. Why It&#39;s Very...",humans,32.2217429,-110.926479
2657,"May 14, 2013",1,"Drought, other climate cycles, settling into Utah",http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNFzo7LtRSVhd2YvNclLp1APloUGtA&url=http://www.sltrib.com/sltrib/news/56292432-78/climate-utah-cycles-gillies.html.csp,,Salt Lake Tribune,,"Drought will probably dog the state for a few more years, thanks to broad climate patterns being tracked by the Utah Climate Center. Rob Gillies, director of the climate center and speaker Friday at the latest Utah State University Sunrise Session...",oceans,41.7410419,-111.8127207
2660,"May 14, 2013",1,Climate models fail to 'predict' US droughts,http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNFUQWe-ArIuFScXGqVOJDeJktwBQg&url=http://www.nature.com/news/climate-models-fail-to-predict-us-droughts-1.12810,//nt3.ggpht.com/news/tbn/i6Vd_F3JzE1HXM/6.jpg,Nature.com,,"Sloan Coats of Columbia University&#39;s Lamont-Doherty Earth Observatory in Palisades, New York, and his colleagues tested whether a state-of-the-art climate model could simulate the droughts known to have occurred in the southwest during the past...",oceans,40.7142691,-74.0059729
2669,"May 14, 2013",0,Our infrastructure isn't ready for climate change,http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNHZb_g4nhowpwVr0Pj-7-7c3eAWow&url=http://articles.marketwatch.com/2013-04-29/commentary/38890507_1_energy-systems-climate-change-infrastructure,,MarketWatch,,"SANTA CLARA, Calif. (MarketWatch) — Recently, the American Society of Civil Engineers released its latest Report Card for America&#39;s Infrastructure, a measure of the condition, capacity, and maintenance of the nation&#39;s vital systems, accounting for...",humans,39.76,-98.5
1010,05/12/2013 12:00,0,Pinellas beginning to assess risks of sea-level rise,http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNFgDvk3T0SNwrAWQD66anUS2W5JXQ&url=http://tbo.com/pinellas-county/pinellas-beginning-to-assess-risks-of-sea-level-rise-b82479940z1,,Tbo.com,,"Sea level rise is not new. Worldwide, the mean sea level has risen by about 3.5 inches since the 1950s, said Don Chambers, an associate professor in the College of Marine Science at the University of South Florida St. Petersburg and an expert on the...",oceans,27.7708606,-82.6792661
2664,"May 14, 2013",1,C40 and Clinton Global Initiative commitment to further city driven climate ...,http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNHBqjaK1RfyhF15cDEPddA4WeGcTQ&url=http://newswatch.nationalgeographic.com/2013/05/06/c40-and-clinton-global-initiative-commitment-to-further-city-driven-climate-actions/,//nt0.ggpht.com/news/tbn/aChUVz8oVopVXM/6.jpg,National Geographic,,C40 announced today a new Clinton Global Initiative (CGI) Commitment to Action that will provide cities with the tools they need to prioritize climate adaptation measures and build more sustainable futures for their residents. The new C40 Risk...,humans,40.7447209392017,-73.9954090118408
2673,"May 14, 2013",1,"Adapting to climate change: Grant to power UW-Madison, others to study effects ...",http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNGeAMeXNmcY4_ZzH6SaRxPEzTVilg&url=http://www.thecountrytoday.com/latest_news/article_7dfc8be0-b813-11e2-b01a-001a4bcf887a.html,,Eau Claire Country Today,,"Nick Baker, right, a field research technician at the Dairy Forage Research Center in Madison, explained the center&#39;s switchgrass research to U.S. Agriculture Secretary Tom Vilsack, left, during a May 7 event on the UW-Madison campus. Others in the...",humans,44.811349,-91.4984941
2658,"May 14, 2013",1,"Jet Stream Enhances Drought in West, Midwest Relief",http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNGDHMzNk_JkTTS4TCGqzxyjp8GCuw&url=http://www.climatecentral.org/news/jet-stream-enhances-drought-in-west-brings-relief-to-midwest-15969,//nt0.ggpht.com/news/tbn/cFxjYgivDTYWJM/6.jpg,Climate Central,,"According to the latest U.S. Drought Monitor, released Thursday, Florida saw the most drought improvement during the past week, while New Mexico saw the biggest deterioration. Modest to heavy rains fell all across the Southeast last week, and continued...",oceans,43.4113604,-106.2800243
1014,05/12/2013 12:00,0,State Department&#039;s Keystone Analysis Ignores True Climate Impact: Report,http://news.google.com/news/url?sa=t&fd=R&usg=AFQjCNHFufKl8jA-75wUXAYvi_HRslgkcQ&url=http://www.huffingtonpost.com/2013/04/16/state-department-keystone-report_n_3092865.html,//nt1.ggpht.com/news/tbn/MZgZ9vj9WzKLIM/6.jpg,Huffington Post,,"WASHINGTON -- The State Department has drastically underestimated the damage the Keystone XL pipeline will do to the global climate, according to new research released Tuesday. The report, authored by a coalition of environmental groups, uses...",general,28.1558467,-82.6212093
